provider_code,provider_name,category,game_symbol,game_name,localized_title,game_image,launch_enable,under_maintenance
1,Pragmatic Play,Slot,vs100firehot,Fire Hot 100,Fire Hot 100,https://bo-prd-v2.meganodes.net/img/games/p1/vs100firehot.jpg,True,False
1,Pragmatic Play,Slot,vs1024gmayhem,Gorilla Mayhem,Gorilla Mayhem,https://bo-prd-v2.meganodes.net/img/games/p1/vs1024gmayhem.jpg,True,False
1,Pragmatic Play,Slot,vs243ckemp,Cheeky Emperor,Cheeky Emperor,https://bo-prd-v2.meganodes.net/img/games/p1/vs243ckemp.jpg,True,False
1,Pragmatic Play,Slot,vs40hotburnx,Hot To Burn Extreme,Hot To Burn Extreme,https://bo-prd-v2.meganodes.net/img/games/p1/vs40hotburnx.jpg,True,False
1,Pragmatic Play,Slot,vs20sugarrush,Sugar Rush,Sugar Rush,https://bo-prd-v2.meganodes.net/img/games/p1/vs20sugarrush.jpg,True,False
1,Pragmatic Play,Slot,vs20octobeer,Octobeer Fortunes,Octobeer Fortunes,https://bo-prd-v2.meganodes.net/img/games/p1/vs20octobeer.jpg,True,False
1,Pragmatic Play,Slot,vswaysjkrdrop,Tropical Tiki,Tropical Tiki,https://bo-prd-v2.meganodes.net/img/games/p1/vswaysjkrdrop.jpg,True,False
1,Pragmatic Play,Slot,vs5sh,Shining Hot 5,Shining Hot 5,https://bo-prd-v2.meganodes.net/img/games/p1/vs5sh.jpg,True,False
1,Pragmatic Play,Slot,vs10coffee,Coffee Wild,Coffee Wild,https://bo-prd-v2.meganodes.net/img/games/p1/vs10coffee.jpg,True,False
1,Pragmatic Play,Slot,vs100sh,Shining Hot 100,Shining Hot 100,https://bo-prd-v2.meganodes.net/img/games/p1/vs100sh.jpg,True,False
1,Pragmatic Play,Slot,vs40sh,Shining Hot 40,Shining Hot 40,https://bo-prd-v2.meganodes.net/img/games/p1/vs40sh.jpg,True,False
1,Pragmatic Play,Slot,vs20sh,Shining Hot 20,Shining Hot 20,https://bo-prd-v2.meganodes.net/img/games/p1/vs20sh.jpg,True,False
1,Pragmatic Play,Slot,vs10txbigbass,Big Bass Splash,Big Bass Splash,https://bo-prd-v2.meganodes.net/img/games/p1/vs10txbigbass.jpg,True,False
1,Pragmatic Play,Slot,vs1024mahjpanda,Mahjong Panda,Mahjong Panda,https://bo-prd-v2.meganodes.net/img/games/p1/vs1024mahjpanda.jpg,True,False
1,Pragmatic Play,Slot,vs25bomb,Bomb Bonanza,Bomb Bonanza,https://bo-prd-v2.meganodes.net/img/games/p1/vs25bomb.jpg,True,False
1,Pragmatic Play,Slot,cs3irishcharms,Irish Charms,Irish Charms,https://bo-prd-v2.meganodes.net/img/games/p1/cs3irishcharms.jpg,True,False
1,Pragmatic Play,Slot,cs5moneyroll,Money Roll,Money Roll,https://bo-prd-v2.meganodes.net/img/games/p1/cs5moneyroll.jpg,True,False
1,Pragmatic Play,Slot,cs5triple8gold,888 Gold,888 Gold,https://bo-prd-v2.meganodes.net/img/games/p1/cs5triple8gold.jpg,True,False
1,Pragmatic Play,Slot,cs3w,Diamonds are Forever 3 Lines,Diamonds are Forever 3 Lines,https://bo-prd-v2.meganodes.net/img/games/p1/cs3w.jpg,True,False
1,Pragmatic Play,Slot,vs40cosmiccash,Cosmic Cash,Cosmic Cash,https://bo-prd-v2.meganodes.net/img/games/p1/vs40cosmiccash.jpg,True,False
1,Pragmatic Play,Slot,vs10egrich,Queen of Gods,Queen of Gods,https://bo-prd-v2.meganodes.net/img/games/p1/vs10egrich.jpg,True,False
1,Pragmatic Play,Slot,vs5littlegem,Little Gem Hold and Spin,Little Gem Hold and Spin,https://bo-prd-v2.meganodes.net/img/games/p1/vs5littlegem.jpg,True,False
1,Pragmatic Play,Slot,vs20cleocatra,Cleocatra,Cleocatra,https://bo-prd-v2.meganodes.net/img/games/p1/vs20cleocatra.jpg,True,False
1,Pragmatic Play,Slot,vs40samurai3,Rise of Samurai 3,Rise of Samurai 3,https://bo-prd-v2.meganodes.net/img/games/p1/vs40samurai3.jpg,True,False
1,Pragmatic Play,Slot,vs243koipond,Koi Pond,Koi Pond,https://bo-prd-v2.meganodes.net/img/games/p1/vs243koipond.jpg,True,False
1,Pragmatic Play,Slot,vs20stickysymbol,The Great Stick-up,The Great Stick-up,https://bo-prd-v2.meganodes.net/img/games/p1/vs20stickysymbol.jpg,True,False
1,Pragmatic Play,Slot,vswayszombcarn,Zombie Carnival,Zombie Carnival,https://bo-prd-v2.meganodes.net/img/games/p1/vswayszombcarn.jpg,True,False
1,Pragmatic Play,Slot,vs50northgard,North Guardians,North Guardians,https://bo-prd-v2.meganodes.net/img/games/p1/vs50northgard.jpg,True,False
1,Pragmatic Play,Slot,vs40cleoeye,Eye of Cleopatra,Eye of Cleopatra,https://bo-prd-v2.meganodes.net/img/games/p1/vs40cleoeye.jpg,True,False
1,Pragmatic Play,Slot,vs20gobnudge,Goblin Heist Powernudge,Goblin Heist Powernudge,https://bo-prd-v2.meganodes.net/img/games/p1/vs20gobnudge.jpg,True,False
